https://thedfirreport.com/2025/01/27/cobalt-strike-and-a-pair-of-socks-lead-to-lockbit-ransomware,hxxps://accessservicesonline[.]com/setup_wm.exe,31.172.83[.]162:443,user[.]compdatasystems[.]com,compdatasystems[.]com,159.100.14[.]254:443,retailadvertisingservices[.]com,185.236.232[.]20:445,91[.]142[.]74[.]28|30001,195[.]2[.]70[.]38|30001,38[.]180[.]61[.]247|30001,93.115.26[.]127:21,46.21.250[.]52:21,6505b488d0c7f3eaee66e3db103d7b05,bf2b396b8fb0b1de27678aab877b6f177546d1c5,b4ad5df385ee964fe9a800f2cdaa03626c8e8811ddb171f8e821876373335e63,671b967eb2bc04a0cd892ca225eb5034,ab1777107d9996e647d43d1194922b810f198514,b79bb3302691936df7c3315ff3ba7027f722fc43d366ba354ac9c3dac2e01d03,03af38505cee81b9d6ecd8c1fd896e0e,1ac66fcc34c0b86def886e4e168030dae096927c,2389b3978887ec1094b26b35e21e9c77826d91f7fa25b2a1cb5ad836ba2d7ec4,0f7b6bb3a239cf7a668a8625e6332639,5263a135f09185aa44f6b73d2f8160f56779706d,18051333e658c4816ff3576a2e9d97fe2a1196ac0ea5ed9ba386c46defafdb88,ea327ed0a3243847f7cd87661e22e1de,450d54d5737164579416ca99af1eb3fa1d4aaff9,ced4ee8a9814c243f0c157cda900def172b95bb4bc8535e480fe432ab84b9175,57f791f7477b1f7a1b3605465d054db8,bba1bc3ebf07ca3c4e2442f0ba9ea18383ce627b,d8b2d883d3b376833fa8e2093e82d0a118ba13b01a2054f8447f57d9fec67030,6e91c474d90546845b1f3f9e7a33411a,9352236ad6fe8835979cf11ba5033f8f2fef0f19,3f97e112f0c5ddf0255ef461746a223208dc0846bde2a6dca9c825d9c706a4e9,0aa05ebc3b6667954898cfccc4057600,c59cbd309b3393cb08a1133364ed11000fdd418d,44cf04192384e920215f0e335561076050129ad7a43b58b1319fa1f950f6a7b6,2800a10c4afae44978d906b2abaed745,84019de427aef1f1e4f32b579767bee6d0bd1e64,c1173628f18f7430d792bbbefc6878bced4539c8080d518555d08683a3f1a835,d9adb3dd6df169e824b2867a2b8cba89,b077ea03b207cc8b8b48b9b4f9a58dabbd39f678,7673a949181e33ff8ed77d992a2826c25b8da333f9e03213ae3a72bb4e9a705d,71c8c1a0056fd084bc32a03d9245ad10,5de1f72ffeea1ecbd287b0ca8ddb2c5264d9acb5,59c9d10f06f8cb2049df39fb4870a81999fd3f8a79717df9b309fadeb5f26ef9,573a213191985c555dd7e8de5f0a9cae,aa19a1648d680c3bfbee7dcc3df41ce98af8e121,ba9b879fdc304bd7f5554528fb8e858ef36ad4657fedfefb8495f43ce73fc6f1,4457256150386acec794e9e8ee412691,c6d54322a17e754150e61f7caa91226a84b0b774,10ce939e4ee8b5285d84c7d694481ebbdf986904938d07f7576d733e830ed012,6d44c5fb49258f285769e50830fc59af,da6771fbbcfaf195b80925cefc880794d62d61bf,3af3f2d08aa598ab4f448af1b01a5ad6c0f8e8982488ebf4e7ae7b166e027a8b,40852fde665eb9119fcc565bd68de680,956e020206c4dc4240537d07be022e86ed918ed1,578a2ac45e40a686a5f625bbc7873becd8eb9fe58ea07b1d318b93ee0d127d4e,996ad32c7ae2190b7fa7876df0d7b717,4a1e667e0c3550f4446903570adbe7776699d4ca,791157675ad77b0ae9feabd76f4b73754a7537b7a9a2cc74bd0924d65be680e1,90f9044cfee2c678fe51abd098bdfe97,e3619582f4d81ca180dee161bbe49d499b237119,c4863cc28e01713e6a857b940873b0e5caedfd1fcb9b2a8d07ffb4c0c48379d5,b254f8f03e61bd9469df66c189d79871,45337ae989cd62d07059f867ce62ff6b6fc90819,9bcaad9184b182965923a141f52fb75ddd1975b99ab080869896cee5879ecfad,4794accd22271a28547fb3613ee79218,ccc6b5bf9591fa9a3d57fd48ee0c9c49a6d22da9,53828f56c6894a468a091c8858d2e29144b68d5de8ff1d69a567e97aac996026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cloudsek.com/blog/no-honour-among-thieves-uncovering-a-trojanized-xworm-rat-builder-propagated-by-threat-actors-and-disrupting-its-operations#new_tab,67d9b4b35c02a19ab364ad19e1972645eb98e24dcd6f1715d2a26229deb2ccf5,e92707537fe99713752f3d3f479fa68a0c8dd80439c13a2bb4ebb36a952b63fd,ea9258e9975b8925a739066221d996aef19b4ef4fc91524f82e39d403f25579,aa8f8d093a10f1b25cb99ac059f30f056d2bb5924114a00a02cf83b0de04fae3,43812885c033ef342d147df053715761886fbec06d08e901419fcc9c969088e,http://ip-api.com/json/,https://github.com/Intestio/XWorm-RAT,https://api.telegram.org/bot8077286634:AAG1XH...,api.telegram.org,ip-api.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.zscaler.com/blogs/security-research/technical-analysis-xloader-versions-6-and-7-part-1,66ebf028ab0f226b6e4c6b17cec00102b1255a4e59b6ae7b32b062a903135cc9,88909cd27a422da91a651e87f493d16beff1f0e03adcc035f2835a2a25e871e7,4ad101eef336dc2467ffaf584b272aa82f26711bfba4e2e29e8ad7c6d62bc6ae,362207c53645346df6f36cf3f7792e5fc4655895b35a6e3477e218e0e0007be9,b1fb20d5857d1ca65dbacd6cb100dc2d7da8eb7ce54d4faeebafb2bbb212beca,www.iwin[.]exposed/ir6g/,www.ok2yu[.]us/ir6g/,www.zwetststuren[.]cfd/ir6g/,www.fraternize[.]org/ir6g/,www.mc9uh8d70[.]site/ir6g/,www.scwspark[.]com/ir6g/,www.royalkredit[.]online/ir6g/,www.bkexclusivecars[.]net/ir6g/,www.moncoop[.]coop/ir6g/,www.tehranrizcomputer[.]com/ir6g/,www.sazekents[.]cfd/ir6g/,www.xediedie[.]icu/ir6g/,www.eeja[.]uk/ir6g/,www.mscfoundation[.]info/ir6g/,www.brighterhomesdecor[.]com/ir6g/,www.efidence[.]com/ir6g/,www.tk254kr6rwr7mjtru[.]com/ir6g/,www.haycoches[.]com/ir6g/,www.electra-airways[.]info/ir6g/,www.happiluv[.]com/ir6g/,www.goog1evip15[.]com/ir6g/,www.womenscalshion[.]com/ir6g/,www.lenaguillemette[.]com/ir6g/,www.jamesgadzikmd[.]com/ir6g/,www.kavanzi[.]com/ir6g/,www.tupinkeept[.]cfd/ir6g/,www.portfutures[.]asia/ir6g/,www.cgm-logistics[.]org/ir6g/,www.dutch-wildlife[.]shop/ir6g/,www.dsisarl[.]com/ir6g/,www.haftplicht[.]com/ir6g/,www.roundhaygardenscene[.]com/ir6g/,www.alace5[.]com/ir6g/,www.sathyfe[.]com/ir6g/,www.electronicraw[.]com/ir6g/,www.earn50k[.]com/ir6g/,www.arasymimbi[.]com/ir6g/,www.lriz[.]site/ir6g/,www.pinnaclebyte[.]info/ir6g/,www.avolci[.]com/ir6g/,www.am8pw[.]us/ir6g/,www.projectimprov[.]com/ir6g/,www.energeticfranchise[.]top/ir6g/,www.devocionmusic[.]com/ir6g/,www.markthing[.]site/ir6g/,www.myhosting[.]co[.]in/ir6g/,www.solar-windturbine[.]life/ir6g/,www.flusznwrldwide[.]com/ir6g/,www.lifedrawingbristol[.]co[.]uk/ir6g/,www.weberze[.]com/ir6g/,www.getmylinks[.]cc/ir6g/,www.aspasskeoffice[.]homes/ir6g/,www.uxzl[.]site/ir6g/,www.carpmaxxbait[.]online/ir6g/,www.dumpstedoctorca[.]com/ir6g/,www.revelationfithub[.]com/ir6g/,www.cuffbow[.]com/ir6g/,www.hk9[.]xyz/ir6g/,www.lollybowly[.]com/ir6g/,www.aarunifoodcrafters[.]com/ir6g/,www.jarvisandbrown[.]com/ir6g/,www.gattosat[.]icu/ir6g/,www.xfgqbh[.]site/ir6g/,www.mag-flex[.]com/ir6g/,www.trisixnine[.]net/0057/,www.softillery[.]info/cyhg/,www.easestore[.]shop/qflp/,www.yu35n[.]top/kejj/,www.yourhomecopilot[.]online/gctn/,www.fastr[.]live/gsjn/,www.dto20[.]shop/efvy/,www.aromavida[.]net/4rlw/,www.crochetpets[.]online/vand/,www.queima[.]shop/mdoj/,www.nojamaica[.]net/g7eq/,www.komart[.]shop/b2t1/,www.livemarkat[.]live/8h0p/,www.d27dm[.]top/ptbb/,www.rtpgaruda888resmi[.]xyz/u8o7/,www.chalet-tofane[.]net/3bhs/,www.platinumkitchens[.]info/dquo/,www.eslameldaramlly[.]site/nlx0/,www.theproselytizer[.]net/od1n/,www.amitayush[.]digital/93j5/,www.030002304[.]xyz/d7z8/,www.aaavvejibej[.]bond/lh0g/,www.useanecdotenow[.]tech/vera/,www.bayarcepat19[.]click/q1x3/,www.bluegirls[.]blog/g1ze/,www.wdeb18[.]top/kv48/,www.weatherbook[.]live/tfj4/,www.pachuco[.]supply/7gdu/,www.childlesscatlady[.]today/2kmz/,www.kabaribukota[.]press/nr90/,www.federall[.]store/afqz/,www.inf30027group23[.]xyz/xzfm/,www.allthingsjasmin[.]com/pbmf/,www.ntn[.]solar/fcmy/,www.torex33[.]online/pvct/,www.resumeyourway[.]info/vn92/,www.kx507981[.]shop/q3r9/,www.ohio-adr[.]net/j0y4/,www.serverplay[.]live/6b8s/,www.meg21c[.]top/3jg0/,www.rockbull[.]pro/0tt2/,www.trapkitten[.]website/y6hh/,www.44ddw[.]top/3e3b/,www.ngmr[.]xyz/4muf/,www.sansensors[.]info/ip84/,www.allsolar[.]xyz/cph9/,www.bismarckrecovery[.]com/kp5k/,www.vegastinyhomes[.]net/f2tm/,www.airbatchnow[.]online/ekgk/,www.huemanstudio[.]today/0ob6/,www.rtpngk[.]xyz/yd3l/,www.mechecker[.]life/b6h1/,www.lojashelp[.]video/ao78/,www.tracy[.]club/rwcg/,www.limitlesssky[.]org/50p5/,www.luismoreno[.]monster/06xo/,www.dhkatp[.]vip/4qrw/,www.hentaistgma[.]net/j6o1/,www.promasterev[.]shop/zjp0/,www.pethut[.]shop/wrhe/,www.polarmuseum[.]info/m8hf/,www.greekhause[.]org/tn42/,www.wdcb30[.]top/s7v2/,www.everycreation[.]shop/nsev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cyble.com/blog/aircraft-collision-ics-flaw-risks-mid-air-crashes/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-022a,107.173.89[.]16,38.207.159[.]76,142.171.217[.]195,154.64.226[.]166,156.234.193[.]18,216.131.75[.]53,205.169.39[.]11,23.236.66[.]97,149.154.176[.]41,95.161.76[.]100,142.171.217[.]195,108.174.199[.]200,206.189.156[.]69,142.171.217[.]195,67.217.228[.]83,203.160.72[.]174,142.11.217[.]3,104.168.133[.]228,64.176.49[.]160,45.141.215[.]17,142.171.217[.]195,98.101.25[.]30,216.131.75[.]53,134.195.90[.]71,23.236.66[.]97,a50660fb31df96b3328640fdfbeea755,53c5b7d124f13039eb62409e1ec2089d,698a752ec1ca43237cb1dc791700afde,aa69300617faab4eb39b789ebfeb5abe,c2becc553b96ba27d60265d07ec3bd6c,cacc30e2a5b2683e19e45dc4f191cebc,061e5946c9595e560d64d5a8c65be49e,e35cf026057a3729387b7ecfb213ae,62a611f0f1a418876b11c9df3b56885bed,c7d20ca6fe596009afaeb725fec8635f,F7F81AE880A17975F60E1E0FE1A4048B,86B62FFD33597FD635E01B95F08BB996,DD975310201079CACD4CDE6FACAB8C1D,1B20E9310CA815F9E2BD366FB94E147F,30f57e14596f1bcad7cc4284d1af4684,hxxps://file.io/E50vtqmJP5aa,hxxps://file.io/RBKuU8gicWt,hxxps://file.io/frdZ9L18R7Nx,hxxp://ip.sb,hxxps://pan.xj.hk/d/,6401646e701f5f47518ecef48a308a36/redis,108.174.199.200/Xa27efd2.tmp,45.33.101.53/log,45.33.101.53/log2,cri07nnrg958pkh6qhk0977u8c83jog6t.oast[.]fun,cri07nnrg958pkh6qhk0yrgy1e76p1od6.oast[.]fun,gg.oyr2ohrm.eyes[.]sh,ggg.oyr2ohrm.eyes[.]sh,gggg.oyr2ohrm.eyes[.]sh,txt.xj[.]hk,book.hacktricks[.]xyz,78cc672218949a9ec87407ad3bcb5db6,d13f71e51b38ffef6b9dc8efbed27615,d88bfac2b43509abdc70308bef75e2a6,R.exe (MD5: 60d5648d35bacf5c7aa713b2a0d267d3),ae51c891d2e895b5ca919d14edd42c26,d88bfac2b43509abdc70308bef75e2a6,f82847bccb621e6822a3947bc9ce9621,c894f55c8fa9d92e2dd2c78172cff745,142.171.217[.]195,107.173.89[.]16,192.42.116[.]210,82.197.182[.]161,154.213.185[.]230,216.131.75[.]53,23.236.66[.]97,208.105.190[.]170,136.144.17[.]145,136.144.17[.]133,216.73.162[.]56,104.28.240[.]123,163.5.171[.]49,89.187.178[.]179,163.5.171[.]49,203.160.86[.]69,185.220.69[.]83,185.199.103[.]196,188.172.229[.]15,155.138.215[.]144,64.176.49[.]160,185.40.4[.]38,216.131[.]75.53,185.40.4[.]95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.welivesecurity.com/en/eset-research/plushdaemon-compromises-supply-chain-korean-vpn-service/,A8AE42884A8EDFA17E9D67AE5BEBE7D196C3A7BF,2DB60F0ADEF14F4AB3573F8309E6FB135F67ED7D,846C025F696DA1F6808B9101757C005109F3CF3D,AD4F0428FC9290791D550EEDDF171AFF046C4C2C,401571851A7CF71783A4CB902DB81084F0A97F85,068FD2D209C0BBB0C6FC14E88D63F92441163233,202.189.8[.]72,47.96.17[.]237,202.105.1[.]187,47.74.159[.]166,8.130.87[.]195,47.108.162[.]218,47.113.200[.]18,47.104.138[.]190,120.24.193[.]58,202.189.8[.]87,202.189.8[.]69,202.189.8[.]193,47.92.6[.]64,reverse.wcsset[.]com,agt.wcsset[.]com,7051.gsm.360safe[.]company,st.360safe[.]company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/eset/malware-ioc/tree/master/PlushDaemon,068FD2D209C0BBB0C6FC14E88D63F92441163233,2DB60F0ADEF14F4AB3573F8309E6FB135F67ED7D,AD4F0428FC9290791D550EEDDF171AFF046C4C2C,401571851A7CF71783A4CB902DB81084F0A97F85,846C025F696DA1F6808B9101757C005109F3CF3D,5A79AEA546B04292C099137AF4740A944F02963A,6B6E16C6E4E5301BE715642179B8E19E91F777A4,B5A5DA09114F1E8443DAF13A799F2645C135B0BC,EEDA5D66285FF8E0BAAB8621994BF1D365188721,C58D6AC9D0B2D4E1144490CCDE581D9C34CBB38E,D22B0DB144C1B42B1CE2A1741C83D845092FCC61,00385604A792B8874238E9B0ABC98A423135B2F4,D1EB4427BDB7F59A01FDA60811708F07308F7987,3C36574E7683A2C6382DC55345B7D1D544C1C1EF,B5B5AB0074F81C02F27D263BC3723809BE0D86A8,4B194770F6054C513B5A3821CB94FEEA58C09D3C,0FA9C4958FBD8513A41056938D5FBCE6C63BBE03,5977A9538627BF274C438FD04A6E20E1A5BA3A4A,EEB4A930EF2D4547B96F06AC6783B06E215C2F13,202.189.8[.]72,47.96.17[.]237,,202.105.1[.]187,47.74.159[.]166,8.130.87[.]195,47.108.162[.]218,47.113.200[.]18,47.104.138[.]190,120.24.193[.]58,202.189.8[.]87,202.189.8[.]69,202.189.8[.]193,47.92.6[.]64,reverse.wcsset[.]com,agt.wcsset[.]com,7051.gsm.360safe[.]company,st.360safe[.]company,https://gitcode[.]net/LetMeGo22/caffe/raw/master/models/bvlc_mod,https://gitcode[.]net/LetMeGo22/caffe/raw/master/models/finetune_flickr_to_python/glib,https://gitcode[.]net/LetMeGo22/caffe/raw/master/models/finetune_flickr_to_python/tmod,http://zuoye.free[.]fr/files/stoll.rar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.seqrite.com/blog/silent-lynx-apt-targeting-central-asian-entities,hxxps:[//]pweobmxdlboi[.]com,hxxps:[//]document[.]hometowncity[.]cloud,hxxps:[//]mailboxdownload[.]com,hxxps[:]//api[.]telegram[.]org/bot8171872935:AAHLoudjpHz1bxA26bV5wPuOEL3LOHEl6Qk,hxxps[:]//api[.]telegram[.]org/bot7898508392:AAF5FPbJ1jlPQfqCIGnx-zNdw2R5tF_Xxt0,efb700681713cd50a2addd1fea6b7ee80c084467d3e87668688b9f06642062ba,e6f76a73180b4f2947764f4de57b52d037b482ece1a88dab9d3290e76be8c098,3560660162f2268d52b69382c78192667a7eee5796d77418a8609b2f1709f834,297d1afa309cdf0c84f04994ffd59ee1e1175377c1a0a561eb25869909812c9c,c045344b23fc245f35a0ff4a6d6fa744d580cde45c8cd0849153dee7dce1d80c,1b76931775aa4de29df27a9de764b22f17ca117d6e5ae184f4ef617c970fc007,66294c9925ad454d5640f4fe753da9e7d6742f60b093ed97be88fcdd47b04445,99c6017c8658faf678f1b171c8eb5d5fa7e7d08e0a0901b984a8e3e1fab565cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cyfirma.com/research/android-malware-in-donot-apt-operations/,8689D59AAC223219E0FDB7886BE289A9536817EB6711089B5DD099A1E580F8E4,D512664DF24B5F8A2B1211D240E3E767F5DD06809BB67AFA367CDC06E2366AEC,toolgpt[.]buzz,Updash[.]info,Solarradiationneutron[.]appspot[.]com,saturn789454[.]appspot[.]com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/eSentire/iocs/blob/main/MintsLoader/MintsLoader_Stealc_01_14_2025.txt,https://t1jm05fdu6748emu5oon8nix1uk2ogyn.lovesnextmeeting[.]com/Uswl5JAnXI - JS Download page for Fattura*.js,http://mubuzb3vvv[.]top/1.php?s=527 - MintsLoader C2,http://62.204.41[.]177/edd20096ecef326d.php - Stealc C2,145.223.100[.]233 - A record for JS Download URL,67.217.228[.]118 - A record for mubuzb3vvv[.]top,62.204.41[.]177 - Stealc C2,45.61.136[.]138 - MintsLoader C2,rosettahome[.]top - BOINC C2,xaides[.]com - Kongtuke,usbkits[.]com - Kongtuke,hkinuxb3bz[.]top - Kongtuke,mubuzb3vvv[.]top - MintsLoader C2,nfuvueibzi4[.]top - MintsLoader C2,mnudybh4unh[.]top - MintsLoader C2,nuvye89bjz4[.]top - MintsLoader C2,mbuz73hb7z3[.]top - MintsLoader C2,tubnzy3uvz[.]top - MintsLoader C2,nubxz4ubhxz9i[.]top - MintsLoader C2,poeiughybzu222[.]top - MintsLoader C2,poubnxu3jubz[.]top - MintsLoader C2,lgbibzuehbz[.]top - MintsLoader C2,ohunhebzhbu3[.]top - MintsLoader C2,sdubvlbbuz3vzzz[.]top - MintsLoader C2,bnbuzu49ibz4[.]top - MintsLoader C2,shd9inbjz4[.]top - MintsLoader C2,ngub8zb38ib[.]top - MintsLoader C2,gkn33hxueub[.]top - MintsLoader C2,mnvuz3gvy3[.]top - MintsLoader C2,jhubzgv3[.]top - MintsLoader C2,adkfnnbmakcgael[.]top - MintsLoader C2 (DGA),hhgiflifcbmdjmh[.]top - MintsLoader C2 (DGA),blclmjamegjaffd[.]top - MintsLoader C2 (DGA),iblaehgffmflamn[.]top - MintsLoader C2 (DGA),bfhdkgmmhdbikgj[.]top - MintsLoader C2 (DGA),jjdgdeffjimfgne[.]top - MintsLoader C2 (DGA),canjjclmlnicbga[.]top - MintsLoader C2 (DGA),jejmbadfmeenlnk[.]top - MintsLoader C2 (DGA),diebinjmajbkhhg[.]top - MintsLoader C2 (DGA),kmaealcfcalhcac[.]top - MintsLoader C2 (DGA),dckhgjimeghemhl[.]top - MintsLoader C2 (DGA),lggknhaffleahbh[.]top - MintsLoader C2 (DGA),ekbnfghmhcaldid[.]top - MintsLoader C2 (DGA),lalclenfjhkinbn[.]top - MintsLoader C2 (DGA),feheecfmkmhfiij[.]top - MintsLoader C2 (DGA),midhkalfmddcece[.]top - MintsLoader C2 (DGA),fnnkcnemajnnaja[.]top - MintsLoader C2 (DGA),mdinjlkfcajkjck[.]top - MintsLoader C2 (DGA),ghecbjcmdfghfkg[.]top - MintsLoader C2 (DGA),nlafhhiffkceadc[.]top - MintsLoader C2 (DGA),gbkiafbmhbmbkkl[.]top - MintsLoader C2 (DGA),afglgehgjgjmgdh[.]top - MintsLoader C2 (DGA),hjbamcnnkmfjbld[.]top - MintsLoader C2 (DGA),anldfaggmdbglen[.]top - MintsLoader C2 (DGA),idhglmmnaimdhlj[.]top - MintsLoader C2 (DGA),bidjdlegcnincee[.]top - MintsLoader C2 (DGA),immmjjkndeekmma[.]top - MintsLoader C2 (DGA),ccibchdgfjbhhfk[.]top - MintsLoader C2 (DGA),jgeeifjnhbledmg[.]top - MintsLoader C2 (DGA),ckahaebgighbngc[.]top - MintsLoader C2 (DGA),afnfdijahijefmh[.]top - MintsLoader C2 (DGA),kcehmenjdibnmni[.]top - MintsLoader C2 (DGA),kdemjgebjimkanl[.]top - MintsLoader C2 (DGA),gajaechkfhfghal[.]top - MintsLoader C2 (DGA),cmacnnkfbhlcncm[.]top - MintsLoader C2 (DGA),B8804a7ef09a9c1e8ede3a86a087b754b42f5b37c6de1e82c86f38d01c297ee2 - Fattura01023847.js,138d2a62b73e89fc4d09416bcefed27e139ae90016ba4493efc5fbf43b66acfa - StealC (packed),91e405e8a527023fb8696624e70498ae83660fe6757cef4871ce9bcc659264d3 - boinc.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
